isbn,likes,rating,title,user_id,user_name
1616201347,11,4,An American Marriage,6390827,Tamsien West (Babbling Books)
1616201347,11,3,An American Marriage,8654301,Beth McCraw
1616201347,11,5,An American Marriage,11892319,Jen
1616201347,11,5,An American Marriage,9302084,Nadia
1616201347,11,5,An American Marriage,22612431,Tara - Running 'n' Reading
1616201347,11,5,An American Marriage,32300055,Sarah at Sarah's Book Shelves
1616201347,11,5,An American Marriage,10110896,Robert Blumenthal
1616201347,11,2,An American Marriage,2648091,Lindsay
1616201347,11,4,An American Marriage,6924236,Megan Tristao
1616201347,11,4,An American Marriage,2908629,Ellie
1616201347,11,4,An American Marriage,56352820,Cody | codysbookshelf
1616201347,11,2,An American Marriage,5074921,Ady Grafovna
1616201347,11,5,An American Marriage,2345554,Kasa Cotugno
1616201347,11,3,An American Marriage,53724042,Krista Regester
1616201347,18,3,An American Marriage,7399266,Camie
1616201347,11,4,An American Marriage,2364302,Jamie
1616201347,11,5,An American Marriage,4036154,Susan Crowe
1616201347,10,3,An American Marriage,27950748,Jonathan Pool
1616201347,12,4,An American Marriage,65023836,Fidan Lurin
1616201347,12,5,An American Marriage,33667800,Maggie (mugandnook)
1616201347,10,4,An American Marriage,43120834,Chelsea A
1616201347,10,4,An American Marriage,17737927,Irena
1616201347,10,3,An American Marriage,5913149,Sandy
1616201347,10,5,An American Marriage,11701608,Barbara
1616201347,11,3,An American Marriage,24192262,Latanya (CraftyScribbles)
1616201347,10,4,An American Marriage,29560188,Brittany
1616201347,12,5,An American Marriage,8460201,Karen ⊰✿
1616201347,10,5,An American Marriage,16113515,Gabrielle
1616201347,10,1,An American Marriage,56555237,Melody Kimmons-Allen
1616201347,11,4,An American Marriage,16092014,Paul
1616201347,11,4,An American Marriage,6321978,Sue Dix
1616201347,10,5,An American Marriage,3780324,Dusky Literati
1616201347,10,5,An American Marriage,16595614,BookLoverBanker
1616201347,10,4,An American Marriage,2195363,Leslie
1616201347,9,4,An American Marriage,68815372,Maurita
1616201347,9,4,An American Marriage,63370358,Anna
1616201347,9,5,An American Marriage,7510561,Stephanie (Stephanie's Novel Fiction)
1616201347,9,3,An American Marriage,4989639,Amy (TheSouthernGirlReads)
1616201347,9,4,An American Marriage,41583,Rebecca
1616201347,9,1,An American Marriage,9395475,Hayley
1616201347,9,4,An American Marriage,7784766,Karen
1616201347,9,4,An American Marriage,3743145,Kelly
1616201347,9,4,An American Marriage,1253673,Diane Yannick
1616201347,9,5,An American Marriage,44249131,Valerie
1616201347,12,4,An American Marriage,33424987,Helen
1616201347,9,5,An American Marriage,27684324,Debbie
1616201347,9,4,An American Marriage,33066708,Lily
1616201347,9,3,An American Marriage,1250473,Lesa Divine
1616201347,9,4,An American Marriage,54660946,Bryn (Plus Others)
1616201347,9,5,An American Marriage,36740512,Belle
1616201347,9,4,An American Marriage,3079532,Mary
1616201347,9,5,An American Marriage,14100063,Cheryl James
1616201347,10,4,An American Marriage,1758987,Becky
1616201347,10,4,An American Marriage,1004125,Tammy
1616201347,9,3,An American Marriage,1072080,Jerrie (redwritinghood)
1616201347,9,5,An American Marriage,11351370,Nia Forrester
1616201347,9,3,An American Marriage,25300361,Lacey
1616201347,9,2,An American Marriage,1840592,Onceinabluemoon
1616201347,9,5,An American Marriage,711396,Amiee
1616201347,9,5,An American Marriage,6515737,Sarah Marie
1616201347,12,4,An American Marriage,2946723,Evelyn
1616201347,9,5,An American Marriage,5260037,Siv30
1616201347,11,4,An American Marriage,60004290,Nikola
1616201347,8,2,An American Marriage,4691325,Asheley
1616201347,8,4,An American Marriage,3157187,Candace Arnold
1616201347,8,4,An American Marriage,318724,Chris Blocker
1616201347,8,5,An American Marriage,51913380,Riley Ashby
1616201347,8,4,An American Marriage,22091363,Mahoghani 23
1616201347,8,5,An American Marriage,5790525,Corinne Keener
1616201347,8,5,An American Marriage,33493030,Kristina V. Ramos
1616201347,8,4,An American Marriage,9988899,Sandra Cortez
1616201347,8,4,An American Marriage,926351,Amy
1616201347,8,5,An American Marriage,16628909,Andy Lillich
1616201347,8,4,An American Marriage,6415020,Ellen
1616201347,9,3,An American Marriage,49782194,Conor
1616201347,8,3,An American Marriage,19062035,Afoma Umesi
1616201347,8,5,An American Marriage,27233545,Donna
1616201347,8,5,An American Marriage,7110702,Lola
1616201347,8,5,An American Marriage,876255,Angelia Menchan
1616201347,8,3,An American Marriage,2485778,Lindz
1616201347,8,5,An American Marriage,93254,Michelle
1616201347,9,5,An American Marriage,38087894,Dosha (Bluestocking7) Beard
1616201347,8,5,An American Marriage,52792189,Bri Little
1616201347,8,5,An American Marriage,30552205,Danielle
1616201347,8,4,An American Marriage,255913,Sarah
1616201347,8,4,An American Marriage,37025883,Books on Stereo
1616201347,8,2,An American Marriage,41794459,Rissa
1616201347,8,5,An American Marriage,142598,Meghan
